crater_id;latitude;longitude;diam_circle_image;depth_rimfloor_topog
23-006998;-14.461;138.61;1.81;0.0
23-007071;-15.053;138.073;1.79;0.0
23-007077;-14.629;136.841;1.79;0.0
23-007093;-14.621;136.997;1.79;0.0
23-007097;-15.245;138.646;1.79;0.0
23-007179;-14.819;139.661;1.77;0.0
23-007242;-14.385;139.72;1.76;0.0
23-007307;-15.14;135.226;1.75;0.0
23-007403;-16.329;138.774;1.73;0.0
23-007425;-13.886;137.716;1.73;0.0
23-007452;-14.406;138.587;1.72;0.0
23-007765;-16.261;139.619;1.67;0.0
23-007798;-15.798;138.675;1.67;0.0
23-007800;-16.536;139.437;1.67;0.0
23-007809;-14.331;139.753;1.67;0.0
23-007983;-14.523;138.813;1.64;0.0
23-008003;-13.78;135.892;1.64;0.0
23-008051;-16.04;135.107;1.63;0.0
23-008094;-13.663;135.429;1.62;0.0
23-008158;-13.957;137.182;1.61;0.0
23-008160;-13.802;137.394;1.61;0.0
23-008172;-14.015;138.044;1.61;0.0
23-008178;-16.032;138.797;1.61;0.0
23-008241;-14.335;138.702;1.6;0.0
23-008254;-16.698;139.526;1.6;0.0
23-008269;-15.038;135.814;1.6;0.0
23-008415;-16.172;137.545;1.58;0.0
23-008416;-15.966;135.45;1.58;0.0
23-008417;-16.398;138.558;1.58;0.0
23-008445;-16.531;139.719;1.58;0.0
23-008508;-14.429;135.061;1.57;0.0
23-008550;-15.178;135.349;1.56;0.0
23-008595;-14.482;138.618;1.56;0.0
23-008596;-16.524;139.411;1.56;0.0
23-008687;-16.56;139.251;1.54;0.0
23-008731;-14.044;137.48;1.54;0.0
23-008778;-14.707;138.206;1.53;0.0
23-008791;-13.791;138.91;1.53;0.0
23-008848;-15.559;139.544;1.52;0.0
23-008970;-14.208;136.25;1.51;0.0
23-008991;-14.763;137.031;1.5;0.0
23-009022;-14.368;138.024;1.5;0.0
23-009032;-15.616;138.591;1.5;0.0
23-009056;-16.283;136.064;1.5;0.0
23-009093;-14.777;137.075;1.49;0.0
23-009125;-14.797;136.727;1.49;0.0
23-009243;-15.929;139.321;1.48;0.0
23-009287;-16.119;137.305;1.47;0.0
23-009313;-15.773;137.419;1.47;0.0
23-009317;-14.922;137.231;1.47;0.0
23-009344;-16.087;139.353;1.47;0.0
23-009430;-14.179;139.147;1.46;0.0
23-009482;-14.013;137.459;1.45;0.0
23-009495;-15.703;138.182;1.45;0.0
23-009500;-14.295;138.064;1.45;0.0
23-009531;-16.514;139.435;1.45;0.0
23-009536;-16.148;137.589;1.45;0.0
23-009566;-16.587;136.176;1.44;0.0
23-009579;-16.405;138.151;1.44;0.0
23-009615;-16.395;139.249;1.44;0.0
23-009649;-15.593;136.764;1.43;0.0
23-009707;-14.526;138.179;1.43;0.0
23-009770;-13.986;136.912;1.43;0.0
23-009774;-14.447;136.755;1.42;0.0
23-009878;-16.378;138.754;1.41;0.0
23-009937;-16.637;137.915;1.41;0.0
23-009943;-14.992;138.077;1.41;0.0
23-009969;-16.502;135.885;1.41;0.0
23-010031;-15.818;135.741;1.4;0.0
23-010040;-16.364;139.065;1.4;0.0
23-010102;-14.283;136.325;1.39;0.0
23-010175;-16.638;139.617;1.39;0.0
23-010352;-16.056;135.014;1.37;0.0
23-010381;-14.86;136.156;1.37;0.0
23-010445;-15.262;137.949;1.36;0.0
23-010458;-16.281;139.609;1.36;0.0
23-010496;-14.469;136.085;1.36;0.0
23-010539;-15.489;138.477;1.35;0.0
23-010727;-16.527;135.041;1.34;0.0
23-010733;-16.663;135.585;1.34;0.0
23-010742;-16.077;139.834;1.34;0.0
23-010838;-16.014;138.255;1.33;0.0
23-010861;-15.882;138.822;1.33;0.0
23-010884;-15.203;137.099;1.33;0.0
23-010899;-14.33;136.067;1.32;0.0
23-010928;-15.799;138.72;1.32;0.0
23-011016;-15.656;139.793;1.32;0.0
23-011022;-16.389;138.225;1.32;0.0
23-011051;-16.239;139.283;1.31;0.0
23-011145;-14.748;135.306;1.31;0.0
23-011158;-13.846;136.567;1.3;0.0
